      time[s]	 Civ.time[h]	 Sol.time[h]	qconv1[W/m2]	 qrad1[W/m2]	 qsol1[W/m2]	qconv2[W/m2]	 qrad2[W/m2]	 qsol2[W/m2]	hcon1[W/m2K]	hrad1[W/m2K]	hcon2[W/m2K]	hrad2[W/m2K]	 Qcum1[J/m2]	 Qcum2[J/m2]	Ta(-32mm)[K]	   T(0mm)[K]	  T(15mm)[K]	  T(25mm)[K]	  T(35mm)[K]	  T(45mm)[K]	  T(55mm)[K]	  T(65mm)[K]	  T(75mm)[K]	  T(85mm)[K]	  T(95mm)[K]	 T(105mm)[K]	 T(115mm)[K]	 T(125mm)[K]	 T(135mm)[K]	 T(145mm)[K]	 T(155mm)[K]	 T(165mm)[K]	 T(175mm)[K]	 T(185mm)[K]	 T(195mm)[K]	 T(205mm)[K]	 T(215mm)[K]	 T(225mm)[K]	 T(235mm)[K]	 T(245mm)[K]	 T(255mm)[K]	 T(265mm)[K]	 T(275mm)[K]	 T(285mm)[K]	 T(295mm)[K]	 T(305mm)[K]	 T(320mm)[K]	Ta(352mm)[K]
   1036800.00	        0.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.46016E+08	 0.49312E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1051200.00	        4.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.46697E+08	 0.49992E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1065600.00	        8.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.47377E+08	 0.50673E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1080000.00	       12.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.48058E+08	 0.51354E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1094400.00	       16.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.48739E+08	 0.52035E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1108800.00	       20.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.49420E+08	 0.52716E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1123200.00	        0.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.50101E+08	 0.53397E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1137600.00	        4.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.50782E+08	 0.54077E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1152000.00	        8.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.51462E+08	 0.54758E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1166400.00	       12.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.52143E+08	 0.55439E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1180800.00	       16.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.52824E+08	 0.56120E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1195200.00	       20.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.53505E+08	 0.56801E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1209600.00	        0.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.54186E+08	 0.57482E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1224000.00	        4.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.54867E+08	 0.58162E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1238400.00	        8.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.55547E+08	 0.58843E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1252800.00	       12.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.56228E+08	 0.59524E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1267200.00	       16.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.56909E+08	 0.60205E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1281600.00	       20.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.57590E+08	 0.60886E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1296000.00	        0.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.58271E+08	 0.61567E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1310400.00	        4.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.58952E+08	 0.62247E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1324800.00	        8.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.59632E+08	 0.62928E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1339200.00	       12.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.60313E+08	 0.63609E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1353600.00	       16.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.60994E+08	 0.64290E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1368000.00	       20.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.61675E+08	 0.64971E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1382400.00	        0.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.62356E+08	 0.65652E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1396800.00	        4.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.63037E+08	 0.66332E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1411200.00	        8.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.63717E+08	 0.67013E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1425600.00	       12.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.64398E+08	 0.67694E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1440000.00	       16.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.65079E+08	 0.68375E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1454400.00	       20.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.65760E+08	 0.69056E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1468800.00	        0.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.66441E+08	 0.69737E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1483200.00	        4.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.67122E+08	 0.70417E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1497600.00	        8.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.67802E+08	 0.71098E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1512000.00	       12.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.68483E+08	 0.71779E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1526400.00	       16.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.69164E+08	 0.72460E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1540800.00	       20.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.69845E+08	 0.73141E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1555200.00	        0.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.70526E+08	 0.73822E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1569600.00	        4.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.71207E+08	 0.74502E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1584000.00	        8.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.71887E+08	 0.75183E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1598400.00	       12.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.72568E+08	 0.75864E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1612800.00	       16.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.73249E+08	 0.76545E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1627200.00	       20.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.73930E+08	 0.77226E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1641600.00	        0.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.74611E+08	 0.77907E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1656000.00	        4.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.75292E+08	 0.78587E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1670400.00	        8.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.75972E+08	 0.79268E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1684800.00	       12.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.76653E+08	 0.79949E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1699200.00	       16.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.77334E+08	 0.80630E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1713600.00	       20.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.78015E+08	 0.81311E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
   1728000.00	        0.00	        0.00	      -27.92	      -19.36	        0.00	      -35.17	       -2.60	       85.05	        7.70	        5.34	       20.00	        1.48	-0.78696E+08	 0.81992E+08	      295.00	      298.63	      299.22	      299.45	      299.69	      299.93	      300.16	      300.40	      300.64	      300.87	      301.11	      301.35	      301.58	      301.82	      302.05	      302.29	      302.53	      302.76	      303.00	      303.24	      303.47	      303.71	      303.95	      303.16	      301.50	      299.65	      297.63	      295.41	      293.00	      290.40	      287.60	      284.59	      279.76	      278.00
